origen_airport_id;_Origin;_OriginCityName;_OriginState
164;"DRO";"Durango; CO"
165;"TVC";"Traverse City; MI"
166;"LNK";"Lincoln; NE"
167;"LAN";"Lansing; MI"
168;"HRL";"Harlingen/San Benito; TX"
169;"BIL";"Billings; MT"
170;"CID";"Cedar Rapids/Iowa City; IA"
171;"SBN";"South Bend; IN"
172;"LFT";"Lafayette; LA"
173;"ECP";"Panama City; FL"
174;"FNT";"Flint; MI"
175;"MLU";"Monroe; LA"
176;"GPT";"Gulfport/Biloxi; MS"
177;"PIA";"Peoria; IL"
178;"LCH";"Lake Charles; LA"
179;"AEX";"Alexandria; LA"
180;"CLL";"College Station/Bryan; TX"
181;"SHV";"Shreveport; LA"
182;"SGF";"Springfield; MO"
183;"AZO";"Kalamazoo; MI"
184;"LRD";"Laredo; TX"
185;"HOB";"Hobbs; NM"
186;"ADQ";"Kodiak; AK"
187;"ANC";"Anchorage; AK"
188;"BET";"Bethel; AK"
189;"SCC";"Deadhorse; AK"
190;"BRW";"Barrow; AK"
191;"FAI";"Fairbanks; AK"
192;"KTN";"Ketchikan; AK"
193;"CDV";"Cordova; AK"
194;"YAK";"Yakutat; AK"
195;"JNU";"Juneau; AK"
196;"SIT";"Sitka; AK"
197;"PSG";"Petersburg; AK"
198;"WRG";"Wrangell; AK"
199;"OME";"Nome; AK"
200;"OTZ";"Kotzebue; AK"
201;"ADK";"Adak Island; AK"
202;"YKM";"Yakima; WA"
203;"ALW";"Walla Walla; WA"
204;"DAL";"Dallas; TX"
205;"RDM";"Bend/Redmond; OR"
206;"HLN";"Helena; MT"
207;"PUW";"Pullman; WA"
208;"EAT";"Wenatchee; WA"
209;"FCA";"Kalispell; MT"
210;"MFR";"Medford; OR"
211;"PSC";"Pasco/Kennewick/Richland; WA"
212;"MSO";"Missoula; MT"
213;"GTF";"Great Falls; MT"
214;"SUN";"Sun Valley/Hailey/Ketchum; ID"
215;"BLI";"Bellingham; WA"
216;"PAE";"Everett; WA"
217;"LGB";"Long Beach; CA"
218;"ITO";"Hilo; HI"
219;"PPG";"Pago Pago; TT"
220;"MKK";"Hoolehua; HI"
221;"LNY";"Lanai; HI"
222;"JHM";"Kapalua; HI"
223;"TTN";"Trenton; NJ"
224;"BMI";"Bloomington/Normal; IL"
225;"BFM";"Mobile; AL"
226;"TYR";"Tyler; TX"
227;"MDW";"Chicago; IL"
228;"SFB";"Sanford; FL"
229;"AZA";"Phoenix; AZ"
230;"PIE";"St. Petersburg; FL"
231;"ELM";"Elmira/Corning; NY"
232;"PGD";"Punta Gorda; FL"
233;"MOT";"Minot; ND"
234;"BLV";"Belleville; IL"
235;"ATW";"Appleton; WI"
236;"SPI";"Springfield; IL"
237;"MLI";"Moline; IL"
238;"PSM";"Portsmouth; NH"
239;"PBG";"Plattsburgh; NY"
240;"GFK";"Grand Forks; ND"
241;"SMX";"Santa Maria; CA"
242;"LCK";"Columbus; OH"
243;"USA";"CONCORD; NC"
244;"CHA";"Chattanooga; TN"
245;"RFD";"Rockford; IL"
246;"PVU";"Provo; UT"
247;"SCK";"Stockton; CA"
248;"CKB";"Clarksburg/Fairmont; WV"
249;"MRY";"Monterey; CA"
250;"BIS";"Bismarck/Mandan; ND"
251;"OGS";"Ogdensburg; NY"
252;"GRI";"Grand Island; NE"
253;"IAG";"Niagara Falls; NY"
254;"OGD";"Ogden; UT"
255;"STC";"St. Cloud; MN"
256;"OWB";"Owensboro; KY"
257;"IDA";"Idaho Falls; ID"
258;"HGR";"Hagerstown; MD"
259;"YUM";"Yuma; AZ"
260;"FLG";"Flagstaff; AZ"
261;"SAF";"Santa Fe; NM"
262;"BFL";"Bakersfield; CA"
263;"JLN";"Joplin; MO"
264;"TLH";"Tallahassee; FL"
265;"FSM";"Fort Smith; AR"
266;"PSE";"Ponce; PR"
267;"HPN";"White Plains; NY"
268;"BQN";"Aguadilla; PR"
269;"MLB";"Melbourne; FL"
270;"CRW";"Charleston/Dunbar; WV"
271;"GNV";"Gainesville; FL"
272;"MBS";"Saginaw/Bay City/Midland; MI"
273;"EWN";"New Bern/Morehead/Beaufort; NC"
274;"RST";"Rochester; MN"
275;"CSG";"Columbus; GA"
276;"CWA";"Mosinee; WI"
277;"LSE";"La Crosse; WI"
278;"SBP";"San Luis Obispo; CA"
279;"ROW";"Roswell; NM"
280;"ASE";"Aspen; CO"
281;"MEI";"Meridian; MS"
282;"SGU";"St. George; UT"
283;"PIB";"Hattiesburg/Laurel; MS"
284;"CYS";"Cheyenne; WY"
285;"MHK";"Manhattan/Ft. Riley; KS"
286;"TWF";"Twin Falls; ID"
287;"VLD";"Valdosta; GA"
288;"GTR";"Columbus; MS"
289;"BQK";"Brunswick; GA"
290;"DLH";"Duluth; MN"
291;"ABY";"Albany; GA"
292;"DHN";"Dothan; AL"
293;"XWA";"Williston; ND"
294;"EKO";"Elko; NV"
295;"INL";"International Falls; MN"
296;"PIH";"Pocatello; ID"
297;"BGM";"Binghamton; NY"
298;"CIU";"Sault Ste. Marie; MI"
299;"BRD";"Brainerd; MN"
300;"CPR";"Casper; WY"
301;"CDC";"Cedar City; UT"
302;"HIB";"Hibbing; MN"
303;"MQT";"Marquette; MI"
304;"ABR";"Aberdeen; SD"
305;"PLN";"Pellston; MI"
306;"LWS";"Lewiston; ID"
307;"APN";"Alpena; MI"
308;"ESC";"Escanaba; MI"
309;"RHI";"Rhinelander; WI"
310;"IMT";"Iron Mountain/Kingsfd; MI"
311;"BTM";"Butte; MT"
312;"BJI";"Bemidji; MN"
313;"EAR";"Kearney; NE"
314;"VEL";"Vernal; UT"
315;"DVL";"Devils Lake; ND"
316;"JMS";"Jamestown; ND"
317;"CNY";"Moab; UT"
318;"EAU";"Eau Claire; WI"
319;"GCC";"Gillette; WY"
320;"SHD";"Staunton; VA"
321;"MKG";"Muskegon; MI"
322;"RKS";"Rock Springs; WY"
323;"PUB";"Pueblo; CO"
324;"CMX";"Hancock/Houghton; MI"
325;"CGI";"Cape Girardeau; MO"
326;"PAH";"Paducah; KY"
327;"LBL";"Liberal; KS"
328;"UIN";"Quincy; IL"
329;"LBF";"North Platte; NE"
330;"LWB";"Lewisburg; WV"
331;"BFF";"Scottsbluff; NE"
332;"LAR";"Laramie; WY"
333;"ATY";"Watertown; SD"
334;"HYS";"Hays; KS"
335;"SLN";"Salina; KS"
336;"PIR";"Pierre; SD"
337;"PRC";"Prescott; AZ"
338;"ACV";"Arcata/Eureka; CA"
339;"RDD";"Redding; CA"
340;"OTH";"North Bend/Coos Bay; OR"
341;"MMH";"Mammoth Lakes; CA"
342;"LAW";"Lawton/Fort Sill; OK"
343;"ACT";"Waco; TX"
344;"COD";"Cody; WY"
345;"ABI";"Abilene; TX"
346;"SUX";"Sioux City; IA"
347;"DRT";"Del Rio; TX"
348;"TXK";"Texarkana; AR"
349;"CMI";"Champaign/Urbana; IL"
350;"SWO";"Stillwater; OK"
351;"SJT";"San Angelo; TX"
352;"BPT";"Beaumont/Port Arthur; TX"
353;"GCK";"Garden City; KS"
354;"ALO";"Waterloo; IA"
355;"GGG";"Longview; TX"
356;"DBQ";"Dubuque; IA"
357;"SPS";"Wichita Falls; TX"
358;"ACY";"Atlantic City; NJ"
359;"LBE";"Latrobe; PA"
360;"GUM";"Guam; TT"
361;"SPN";"Saipan; TT"
362;"PQI";"Presque Isle/Houlton; ME"
363;"DIK";"Dickinson; ND"
